claim_id	claim	verdict	claim_tier	evidence_level	model_or_population	scope_limit	source_url	doi
R13_MRS	In a 72-participant four-site short-term test-retest study, selected MRS measures were reproducible after site adjustment and differed between manifest SCA2 and SCA3 groups	corrected	T2	multisite short-term human test-retest study	72 participants: 18 SCA2, 25 SCA3, 29 controls; four sites and two vendors	Manifest rather than presymptomatic cohort; site adjustment and genotype-specific analysis required; no longitudinal prediction or surrogate validation	https://pubmed.ncbi.nlm.nih.gov/42260718/	10.1002/acn3.70443
R14_SCA44	In mice carrying the patient-derived SCA44 GRM1 p.Y792C gain-of-function variant, enhanced mGluR1 function drove model-specific progressive motor and Purkinje-cell abnormalities	confirmed_model_limited	T3	patient-variant mouse knock-in experiment	mice carrying SCA44 GRM1 p.Y792C gain-of-function variant	Demonstrates causality in this mouse model but not patients or all SCAs; does not justify nonspecific activity suppression	https://pubmed.ncbi.nlm.nih.gov/41525334/	10.1093/brain/awaf477
R15_VO659	The ClinicalTrials.gov record lists VO659 in a recruiting open-label Phase 1-2a SCA1-SCA3-HD trial with no posted results	current_status_confirmed_efficacy_unverified	T2	official interventional trial registry	open-label multiple-ascending-dose study; estimated enrolment 68; SCA SARA 3 to 18	No registered results or SCA efficacy conclusion; not presymptomatic; current protocol contains five dose cohorts	https://clinicaltrials.gov/study/NCT05822908	NA
R16_ESMI	In the longitudinal ESMI cohort of 291 SCA3 mutation carriers and 121 controls, NfL and MRI trajectories were stage dependent and pons volume had high observational responsiveness	corrected	T2	longitudinal human observational biomarker cohort	291 SCA3 mutation carriers before and after onset and 121 healthy controls; median follow-up approximately 1.02 years	Only nine forward stage transitions were observed; onset timing was partly imputed; observational responsiveness does not establish treatment responsiveness or surrogate validity	https://pmc.ncbi.nlm.nih.gov/articles/PMC12270660/	10.1016/j.lanepe.2025.101339
R17_LARGININE	In a 40-participant randomized placebo-controlled SCA6 phase 2 trial, the 48-week SARA difference favoured L-arginine by 1.52 points but was imprecise and not conventionally significant	corrected	T1	multicentre randomized double-blind placebo-controlled human phase 2 trial	40 genetically confirmed SCA6 participants with baseline SARA at least 10; 20 randomized per group	Efficacy and disease modification were not established; SARA 3 to 9 was untested; serious adverse events occurred in two active and five placebo participants and two active-group events were serious adverse reactions because causality could not be ruled out	https://pmc.ncbi.nlm.nih.gov/articles/PMC11701440/	10.1016/j.eclinm.2024.102952
S01_APOE	In the Brazilian subgroup of a multicentre SCA3 study, rare APOE epsilon4 homozygosity was associated with approximately six-year earlier onset	corrected	T2	multicentre human genetic observational study	more than 800 SCA3 participants; association observed in Brazilian epsilon4 homozygotes	Common haplotypes and single alleles were null; rare subgroup result is initial and requires replication	https://pubmed.ncbi.nlm.nih.gov/41854058/	10.1093/hmg/ddag016
S02_SCA6_UPR	In SCA6 84Q heterozygous mice, HSP90-dependent UPR resilience delayed ER-stress-associated physiological abnormalities	confirmed_model_limited	T3	longitudinal mechanistic mouse study	SCA6 84Q heterozygous mice assessed from 3 to 19 months	84Q greatly exceeds typical human pathogenic expansion and does not directly validate reserve B in humans	https://pmc.ncbi.nlm.nih.gov/articles/PMC12894513/	10.1002/ana.78042
S03_OLIGODENDROCYTE	In an oligodendroglia-specific SCA1 conditional knock-in mouse, mutant ATXN1 caused myelin dysregulation Purkinje axonopathy and motor deficits	confirmed_model_limited	T3	cell-type-specific conditional knock-in mouse study	oligodendroglia-specific SCA1 mouse	Does not establish human causality or Purkinje soma degeneration	https://www.jci.org/articles/view/195723	10.1172/JCI195723
S04_BERGMANN	In mice with Bergmann-glia-specific APC loss, glial disruption caused non-cell-autonomous Purkinje degeneration	confirmed_model_limited	T3	cell-type-specific mouse knockout study	Bergmann-glia-specific APC loss	Specific glial architecture perturbation supports multicellular causation but is not a generic SCA mechanism	https://pmc.ncbi.nlm.nih.gov/articles/PMC3287075/	10.1002/glia.21154
S05_CBLN1_SYNAPSE	In mature cbln1-null cerebellum in vitro and in adult mice, Cbln1 replacement rapidly organized PF-Purkinje synapses	confirmed_model_limited	T3	in-vitro and adult mouse knockout rescue	mature cbln1-null cerebellum	Developmental knockout rescue does not establish human SCA treatment or an unknown external maintenance factor	https://pmc.ncbi.nlm.nih.gov/articles/PMC6670322/	10.1523/JNEUROSCI.1030-08.2008
S06_SCA3_NFL	In two multicentre SCA3 cohorts, NfL was elevated before expected onset and associated with disease severity and longitudinal progression	confirmed	T2	two independent multicentre human cohorts with cross-species mouse validation	pre-ataxic and ataxic SCA3 participants plus knock-in mice	Expected-onset estimates and biomarker associations do not make NfL a validated treatment surrogate	https://pubmed.ncbi.nlm.nih.gov/32510847/	10.15252/emmm.201911803
S07_TDCS_POS	In a randomized crossover trial of 20 participants with heterogeneous neurodegenerative ataxias, two-week cerebellar-anodal plus spinal-cathodal tDCS improved clinical scores	confirmed_small_trial	T1	randomized double-blind sham-controlled crossover human trial	20 participants with heterogeneous neurodegenerative ataxias	Small heterogeneous sample; cerebellar-anodal plus spinal-cathodal montage; symptomatic effect does not establish downshift mechanism or disease modification	https://pubmed.ncbi.nlm.nih.gov/30135258/	10.1212/WNL.0000000000006210
S08_TDCS_NEG	In a randomized trial of 20 mildly to moderately affected SCA3 participants, two-week cerebellar anodal tDCS did not improve the primary SARA endpoint relative to sham	confirmed	T1	randomized double-blind sham-controlled human trial	20 mildly to moderately affected SCA3 participants	Small trial but genotype-specific; no group-level benefit over sham or restoration of cerebellar-brain inhibition	https://pubmed.ncbi.nlm.nih.gov/35501469/	10.1007/s13311-022-01231-w
S09_GRID2	In a human case report with literature context, a de-novo heterozygous GRID2 variant was associated with ataxia within a broader heterogeneous GRID2 phenotype spectrum	confirmed_case_limited	T2	human case report with literature context	individual with de-novo heterozygous GRID2 variant and reported human spectrum	Rare heterogeneous variants and case-level evidence do not establish a shared GluD2 channel mechanism for all presentations	https://pubmed.ncbi.nlm.nih.gov/39312122/	10.1007/s12311-024-01743-5
S10_CEREBELLAR_RESERVE	A consensus framework defines structural and functional cerebellar reserve as capacities for compensation and restoration in response to pathology	confirmed_conceptual_prior_art	C1	consensus review of human and preclinical literature	established cerebellar-reserve definitions and therapeutic implications	The consensus does not measure dynamic reserve B external input X gating outward loss or a human exposure-risk hump	https://pmc.ncbi.nlm.nih.gov/articles/PMC6978293/	10.1007/s12311-019-01091-9
S11_TIME_CEREBELLUM	The Time Is Cerebellum editorial proposes intervention while cerebellar reserve remains and before advanced cell loss	confirmed_conceptual_prior_art	C1	conceptual editorial	early treatment principle across cerebellar disorders	Supports an early-intervention rationale but not hereditary-SCA reversibility a specific therapy or the proposed gating mechanism	https://pmc.ncbi.nlm.nih.gov/articles/PMC6007694/	10.1007/s12311-018-0925-6
S12_AGI_MRI	A 2026 consensus statement provides disease-specific quantitative MRI endpoint recommendations for clinical trials in common hereditary ataxias	confirmed_conceptual_consensus	C1	consensus review and recommendation	SCA1 SCA2 SCA3 and Friedreich ataxia trial imaging endpoints	The recommendations support candidate imaging tools but do not validate MRI as a surrogate for clinical benefit or measure latent state L or dynamic reserve B	https://pubmed.ncbi.nlm.nih.gov/42236987/	10.1038/s41582-026-01218-7
H01_X	The mechanistic extension posits that a candidate external maintenance input X may contribute to hereditary cerebellar ataxia	unverified	T4	no direct evidence	formal theoretical construct	No cited study measures or identifies X; retain only as an explicit falsifiable extension rather than the observable core model	NA	NA
H02_R	The hypothesis posits that a genetically specified coupling or demand vector R may modify dependence on X	unverified	T4	no direct evidence	formal theoretical construct	R has no independent operational measure and must not be inferred circularly from early onset or severity	NA	NA
H03_B	The hypothesis posits that an initial dynamic reserve B0 and time-varying reserve B may govern an onset threshold	unverified	T4	no direct evidence	formal theoretical construct	Established cerebellar reserve UPR proteostasis and synaptic resilience are prior concepts or analogies rather than direct measurements of the proposed common dynamic state	NA	NA
H04_P	The optional gating extension posits that an exposure-responsive exchange gate P may control uptake and outward loss	unverified	T4	no direct evidence	formal theoretical construct	No human animal or cellular study directly measures the proposed gate or its transfer function	NA	NA
H05_L	The validation programme proposes a shared latent system state L that may link reserve-related biomarker patterns to degeneration	unverified	T4	no direct evidence	proposed latent-variable construct	No validated latent factor measurement invariance external prediction or treatment responsiveness has been demonstrated	NA	NA
H06_OUTWARD_LEAK	The optional gating extension predicts that intermediate exposure may open a gate and produce outward loss of internal reserve	retract_as_fact	T4	no direct evidence	proposed kinetic mechanism	No cited experiment measures reverse flux or exposure-induced reserve loss; present only as a preregistered mechanistic prediction	NA	NA
H07_HUMP_CURVE	The model predicts a low-idle intermediate-deficit high-balance hump-shaped exposure-risk curve	retract_as_fact	T4	no direct evidence	proposed nonlinear risk function	The rural study dichotomized ecological proxies and did not estimate a continuous nonlinear curve; the shape remains wholly untested	NA	NA
H08_INTERVENTION_SCORE	The validation programme asks whether a composite NfL-MRS-network score could define a pre-degeneration treatment threshold	unverified	T4	no validated clinical evidence	proposed prospective biomarker composite	Components are candidate biomarkers; latent validity longitudinal prediction calibration thresholds and surrogate status require external validation	NA	NA
H09_LOW_X_DORMANCY	The optional gating extension predicts that near-zero X may induce protective dormancy with low consumption and low outward loss	retract_as_fact	T4	no direct evidence	proposed state-transition mechanism	No cited study directly tests the existence of X or low-X protective dormancy	NA	NA
